education,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met_80,awards_won_status,avg_training_score,is_promoted,department_Sales & Marketing,department_Operations,department_Technology,department_Analytics,department_R&D,department_Procurement,department_Finance,department_HR,department_Legal
2,1,1.0800081603531466,5.0,1.096675611268859,1,0,1.3455722391108365,1,1,0,0,0,0,0,0,0,0
2,1,1.0774225157975732,5.0,1.1624243666483425,1,0,1.3468745446974844,1,1,0,0,0,0,0,0,0,0
3,1,1.0930986254819877,4.0,1.2686964054434444,1,0,1.3413857844487254,1,1,0,0,0,0,0,0,0,0
2,1,1.0675177691389857,0.0,1.0,1,1,1.354911001514197,1,0,0,0,0,0,0,1,0,0
2,1,1.0675177691389857,0.0,1.0,0,0,1.357871453175231,1,1,0,0,0,0,0,0,0,0
2,1,1.072937349493929,3.0,1.1775740736881788,1,0,1.3744211851204702,1,0,0,0,1,0,0,0,0,0
3,1,1.0787512011053229,5.0,1.1775740736881788,1,0,1.3709080575834898,1,0,0,1,0,0,0,0,0,0
3,1,1.08340332878289,4.0,1.0599527833972817,1,0,1.3442250507357623,1,1,0,0,0,0,0,0,0,0
2,1,1.072937349493929,3.0,1.096675611268859,0,0,1.354911001514197,1,1,0,0,0,0,0,0,0,0
2,1,1.0712484128589217,0.0,1.0,0,0,1.3614554650555442,1,0,0,0,0,0,0,0,0,1
3,1,1.0872149376329303,5.0,1.2231422996927186,1,0,1.3569125215141475,1,0,1,0,0,0,0,0,0,0
3,1,1.076015646255253,5.0,1.096675611268859,1,0,1.3646842855292767,1,0,0,0,0,0,1,0,0,0
2,1,1.0745233261270706,5.0,1.123499903031645,1,0,1.359711646564487,1,0,1,0,0,0,0,0,0,0
2,1,1.0800081603531466,4.0,1.1624243666483425,1,0,1.3538657865427755,1,0,1,0,0,0,0,0,0,0
2,1,1.0853990115075853,3.0,1.0599527833972817,1,0,1.377533349507694,1,1,0,0,0,0,0,0,0,0
2,1,1.0675177691389857,5.0,1.0599527833972817,0,0,1.3754993957842918,1,0,0,1,0,0,0,0,0,0
